arm,best_risk,dataset,episode_id,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,nominal_risk,regime,stage
zero,0.2512627566854159,RELLIS-3D,00003_001631_00,0,0.1093348041176796,0.13907326757907867,0.0,0.25673246135314304,R1,0
zero,0.5017074197530746,RELLIS-3D,00003_001631_00,0,0.07522138208150864,0.10619333386421204,0.0,0.5017074197530746,R1,1
zero,0.5488841533660889,RELLIS-3D,00003_001631_00,0,0.07011712342500687,0.10320111364126205,0.0,0.5485716114441553,R1,2
zero,inf,RELLIS-3D,00003_001631_00,0,0.07167059183120728,0.10402961820363998,0.0,0.5498511344194412,R1,3
zero,0.549245243271192,RELLIS-3D,00003_001631_00,0,0.07437177747488022,0.10686847567558289,0.0,0.550000011920929,R1,4
zero,0.5500000069538752,RELLIS-3D,00003_001631_00,0,0.07608425617218018,0.112080417573452,0.0,0.550000011920929,R1,5
learned,0.2512627566854159,RELLIS-3D,00003_001631_00,0,0.1093348041176796,0.13907326757907867,0.0,0.25673246135314304,R1,0
learned,0.5017074197530746,RELLIS-3D,00003_001631_00,0,0.07522138208150864,0.10619333386421204,0.0,0.5017074197530746,R1,1
learned,0.5488841533660889,RELLIS-3D,00003_001631_00,0,0.07011712342500687,0.10320111364126205,0.0,0.5485716114441553,R1,2
learned,inf,RELLIS-3D,00003_001631_00,0,0.07167059183120728,0.10402961820363998,0.0,0.5498511344194412,R1,3
learned,0.549245243271192,RELLIS-3D,00003_001631_00,0,0.07437177747488022,0.10686847567558289,0.0,0.550000011920929,R1,4
learned,0.5500000069538752,RELLIS-3D,00003_001631_00,0,0.07608425617218018,0.112080417573452,0.0,0.550000011920929,R1,5
fixed,0.2512627566854159,RELLIS-3D,00003_001631_00,0,0.1093348041176796,0.13907326757907867,0.0,0.25673246135314304,R1,0
fixed,0.5017074197530746,RELLIS-3D,00003_001631_00,0,0.07522138208150864,0.10619333386421204,0.0,0.5017074197530746,R1,1
fixed,0.5488841533660889,RELLIS-3D,00003_001631_00,0,0.07011712342500687,0.10320111364126205,0.0,0.5485716114441553,R1,2
fixed,inf,RELLIS-3D,00003_001631_00,0,0.07167059183120728,0.10402961820363998,0.0,0.5498511344194412,R1,3
fixed,0.549245243271192,RELLIS-3D,00003_001631_00,0,0.07437177747488022,0.10686847567558289,0.0,0.550000011920929,R1,4
fixed,0.5500000069538752,RELLIS-3D,00003_001631_00,0,0.07608425617218018,0.112080417573452,0.0,0.550000011920929,R1,5
zero,0.2566794777909915,RELLIS-3D,00003_001631_01,0,0.12207724153995514,0.1454901397228241,0.0,0.2572578464945157,R1,0
zero,inf,RELLIS-3D,00003_001631_01,0,0.0878501608967781,0.12493620812892914,0.0,0.5083276033401489,R1,1
zero,inf,RELLIS-3D,00003_001631_01,0,0.0837974101305008,0.1174997091293335,0.0,0.5220815266172091,R1,2
zero,inf,RELLIS-3D,00003_001631_01,0,0.08064062148332596,0.11296986043453217,0.0,0.5425917158524195,R1,3
zero,0.5492759495973587,RELLIS-3D,00003_001631_01,0,0.07945643365383148,0.11076446622610092,0.0,0.5492759495973587,R1,4
zero,0.550000011920929,RELLIS-3D,00003_001631_01,0,0.07758814096450806,0.11007346212863922,0.0,0.550000011920929,R1,5
zero,inf,RELLIS-3D,00003_001631_01,0,0.07406701147556305,0.1057346761226654,0.0,0.550000324845314,R1,6
zero,0.550000011920929,RELLIS-3D,00003_001631_01,0,0.053248558193445206,0.08404675871133804,0.0,0.5500010897715887,R1,7
zero,inf,RELLIS-3D,00003_001631_01,0,0.04339224845170975,0.07364759594202042,0.0,0.5512540510722569,R1,8
zero,inf,RELLIS-3D,00003_001631_01,0,0.04354291409254074,0.0758402869105339,0.0,0.5586310625076294,R1,9
learned,0.2566794777909915,RELLIS-3D,00003_001631_01,0,0.12207724153995514,0.1454901397228241,0.0,0.2572578464945157,R1,0
learned,inf,RELLIS-3D,00003_001631_01,0,0.0878501608967781,0.12493620812892914,0.0,0.5083276033401489,R1,1
learned,inf,RELLIS-3D,00003_001631_01,0,0.0837974101305008,0.1174997091293335,0.0,0.5220815266172091,R1,2
learned,inf,RELLIS-3D,00003_001631_01,0,0.08064062148332596,0.11296986043453217,0.0,0.5425917158524195,R1,3
learned,0.5492759495973587,RELLIS-3D,00003_001631_01,0,0.07945643365383148,0.11076446622610092,0.0,0.5492759495973587,R1,4
learned,0.550000011920929,RELLIS-3D,00003_001631_01,0,0.07758814096450806,0.11007346212863922,0.0,0.550000011920929,R1,5
learned,inf,RELLIS-3D,00003_001631_01,0,0.07406701147556305,0.1057346761226654,0.0,0.550000324845314,R1,6
learned,0.550000011920929,RELLIS-3D,00003_001631_01,0,0.053248558193445206,0.08404675871133804,0.0,0.5500010897715887,R1,7
learned,inf,RELLIS-3D,00003_001631_01,0,0.04339224845170975,0.07364759594202042,0.0,0.5512540510722569,R1,8
learned,inf,RELLIS-3D,00003_001631_01,0,0.04354291409254074,0.0758402869105339,0.0,0.5586310625076294,R1,9
fixed,0.2566794777909915,RELLIS-3D,00003_001631_01,0,0.12207724153995514,0.1454901397228241,0.0,0.2572578464945157,R1,0
fixed,inf,RELLIS-3D,00003_001631_01,0,0.0878501608967781,0.12493620812892914,0.0,0.5083276033401489,R1,1
fixed,inf,RELLIS-3D,00003_001631_01,0,0.0837974101305008,0.1174997091293335,0.0,0.5220815266172091,R1,2
fixed,inf,RELLIS-3D,00003_001631_01,0,0.08064062148332596,0.11296986043453217,0.0,0.5425917158524195,R1,3
fixed,0.5492759495973587,RELLIS-3D,00003_001631_01,0,0.07945643365383148,0.11076446622610092,0.0,0.5492759495973587,R1,4
fixed,0.550000011920929,RELLIS-3D,00003_001631_01,0,0.07758814096450806,0.11007346212863922,0.0,0.550000011920929,R1,5
fixed,inf,RELLIS-3D,00003_001631_01,0,0.07406701147556305,0.1057346761226654,0.0,0.550000324845314,R1,6
fixed,0.550000011920929,RELLIS-3D,00003_001631_01,0,0.053248558193445206,0.08404675871133804,0.0,0.5500010897715887,R1,7
fixed,inf,RELLIS-3D,00003_001631_01,0,0.04339224845170975,0.07364759594202042,0.0,0.5512540510722569,R1,8
fixed,inf,RELLIS-3D,00003_001631_01,0,0.04354291409254074,0.0758402869105339,0.0,0.5586310625076294,R1,9
zero,0.2614685396353404,RELLIS-3D,00003_001631_04,1,0.12235771119594574,0.14555366337299347,0.0,0.30825158456961316,R1,0
zero,inf,RELLIS-3D,00003_001631_04,0,0.08856341242790222,0.12430454790592194,0.0,0.5038926204045614,R1,1
zero,inf,RELLIS-3D,00003_001631_04,0,0.08395767211914062,0.11950072646141052,0.0,0.5442446817954382,R1,2
zero,inf,RELLIS-3D,00003_001631_04,0,0.0803605392575264,0.11335476487874985,0.0,0.549312541882197,R1,3
zero,0.5493682871262232,RELLIS-3D,00003_001631_04,0,0.07887113839387894,0.11119404435157776,0.0,0.5493682871262232,R1,4
zero,0.549864798784256,RELLIS-3D,00003_001631_04,0,0.07718690484762192,0.11069099605083466,0.0,0.549864798784256,R1,5
zero,0.550000011920929,RELLIS-3D,00003_001631_04,0,0.07123947888612747,0.10273411870002747,0.0,0.550000011920929,R1,6
zero,0.550000011920929,RELLIS-3D,00003_001631_04,0,0.05485066771507263,0.08553066849708557,0.0,0.550000011920929,R1,7
zero,inf,RELLIS-3D,00003_001631_04,0,0.04461485147476196,0.07671061158180237,0.0,0.5502388924360275,R1,8
learned,0.2614685396353404,RELLIS-3D,00003_001631_04,1,0.12235771119594574,0.14555366337299347,0.14555366337299347,0.30825158456961316,R1,0
learned,inf,RELLIS-3D,00003_001631_04,0,0.08856341242790222,0.12430444359779358,0.0,0.5038926204045614,R1,1
learned,inf,RELLIS-3D,00003_001631_04,0,0.08395767211914062,0.11950050294399261,0.0,0.5442446817954382,R1,2
learned,inf,RELLIS-3D,00003_001631_04,0,0.08036048710346222,0.11335478723049164,0.0,0.549312541882197,R1,3
